time,source OuterVoltage,source InnerVoltage,source QuasiFermiPotential,source DisplacementCurrent,source eCurrent,source hCurrent,source TotalCurrent,source Charge,gate OuterVoltage,gate InnerVoltage,gate QuasiFermiPotential,gate DisplacementCurrent,gate eCurrent,gate hCurrent,gate TotalCurrent,gate Charge,drain OuterVoltage,drain InnerVoltage,drain QuasiFermiPotential,drain DisplacementCurrent,drain eCurrent,drain hCurrent,drain TotalCurrent,drain Charge
0.01,0.0,0.0,0.0,0.0,-5.48491054550764e-13,1.88454212964505e-20,-5.48491035705343e-13,4.22668761994114e-16,-0.02,-0.02,0.0,0.0,-1.27867429094739e-18,-2.78326719865301e-18,-4.0619414896004e-18,-4.66322634246711e-15,10.0,10.0,0.0,0.0,5.48495044020304e-13,5.36265288152418e-20,5.48495097646833e-13,4.240557580473e-15
0.0297333333333333,0.0,0.0,0.0,0.0,-1.23805788379468e-13,3.20498495165696e-20,-1.23805756329618e-13,4.23303730750363e-16,-0.0594666666666667,-0.0594666666666667,0.0,0.0,-1.40160283129569e-18,-2.93661483408928e-18,-4.33821766538497e-18,-4.6644850690783e-15,10.0,10.0,0.0,0.0,1.23810040798553e-13,5.37487308247095e-20,1.23810094547284e-13,4.24118133832793e-15
0.0497333333333333,0.0,0.0,0.0,0.0,-2.73529590046442e-14,3.58867988267176e-20,-2.73529231178454e-14,4.23947278563779e-16,-0.0994666666666667,-0.0994666666666667,0.0,0.0,-1.42890656799556e-18,-2.97828383703759e-18,-4.40719040503315e-18,-4.66576080283153e-15,10.0,10.0,0.0,0.0,2.73572765423981e-14,5.37658523048471e-20,2.73573303082504e-14,4.24181352426775e-15
0.0697333333333333,0.0,0.0,0.0,0.0,-6.03621493880441e-15,3.74586204973838e-20,-6.03617748018391e-15,4.24590826026097e-16,-0.139466666666667,-0.139466666666667,0.0,0.0,-1.43491015871694e-18,-2.99388092194027e-18,-4.42879108065722e-18,-4.66703653599183e-15,10.0,10.0,0.0,0.0,6.04055248856037e-15,5.37827042037989e-20,6.04060627126457e-15,4.24244570996574e-15
0.0897333333333333,0.0,0.0,0.0,0.0,-1.33043826387036e-15,3.84748132614544e-20,-1.3303997890571e-15,4.25234373419831e-16,-0.179466666666667,-0.179466666666667,0.0,0.0,-1.43633176691951e-18,-3.00366371985485e-18,-4.43999548677436e-18,-4.66831226903011e-15,10.0,10.0,0.0,0.0,1.33478598521683e-15,5.37993270431009e-20,1.33483978454387e-15,4.24307789561027e-15
0.109733333333333,0.0,0.0,0.0,0.0,-2.9260398214457e-16,3.93173343304552e-20,-2.9256466481024e-16,4.25877920807216e-16,-0.219466666666667,-0.219466666666667,0.0,0.0,-1.43676862711786e-18,-3.01210639601445e-18,-4.44887502313231e-18,-4.66958800205023e-15,10.0,10.0,0.0,0.0,2.96959724095881e-16,5.38157374912355e-20,2.97013539833372e-16,4.24371008124301e-15
0.129733333333333,0.0,0.0,0.0,0.0,-6.38956252612841e-17,4.00756614889713e-20,-6.38555495997952e-17,4.26521468201757e-16,-0.259466666666667,-0.259466666666667,0.0,0.0,-1.43699379067146e-18,-3.02019365602891e-18,-4.45718744670037e-18,-4.67086373507491e-15,10.0,10.0,0.0,0.0,6.82589051064168e-17,5.38319400787323e-20,6.83127370464955e-17,4.24434226687315e-15
0.149733333333333,0.0,0.0,0.0,0.0,-1.35246997695408e-17,4.07739176870319e-20,-1.34839258518538e-17,4.27165015606202e-16,-0.299466666666667,-0.299466666666667,0.0,0.0,-1.43717321583442e-18,-3.02814339755319e-18,-4.46531661338761e-18,-4.67213946810892e-15,10.0,10.0,0.0,0.0,1.78953945266173e-17,5.38479386241008e-20,1.79492424652414e-17,4.24497445250272e-15
0.169733333333333,0.0,0.0,0.0,0.0,-2.43200434635347e-18,4.14217044441889e-20,-2.39058264190928e-18,4.2780856302093e-16,-0.339466666666667,-0.339466666666667,0.0,0.0,-1.43734250019833e-18,-3.03600550913345e-18,-4.47334800933178e-18,-4.67341520115308e-15,10.0,10.0,0.0,0.0,6.8100669144152e-18,5.38637368258611e-20,6.86393065124106e-18,4.24560663813215e-15
0.189733333333333,0.0,0.0,0.0,0.0,1.46657880425385e-20,4.20246007590609e-20,5.66903888015994e-20,4.28452110445802e-16,-0.379466666666667,-0.379466666666667,0.0,0.0,-1.43750927479666e-18,-3.0437923387257e-18,-4.48130161352236e-18,-4.67469093420737e-15,10.0,10.0,0.0,0.0,4.37073188642684e-18,5.38793382939251e-20,4.42461122472076e-18,4.24623882376157e-15
