time,source OuterVoltage,source InnerVoltage,source QuasiFermiPotential,source DisplacementCurrent,source eCurrent,source hCurrent,source TotalCurrent,source Charge,gate OuterVoltage,gate InnerVoltage,gate QuasiFermiPotential,gate DisplacementCurrent,gate eCurrent,gate hCurrent,gate TotalCurrent,gate Charge,drain OuterVoltage,drain InnerVoltage,drain QuasiFermiPotential,drain DisplacementCurrent,drain eCurrent,drain hCurrent,drain TotalCurrent,drain Charge
0.005,0.0,0.0,0.0,0.0,-4.10120361871055e-13,-6.13352607185946e-26,-4.10120361871117e-13,4.22476265836654e-16,0.0,0.0,0.0,0.0,-8.69403481725997e-19,-1.03495360871029e-19,-9.72898842597026e-19,-1.36105491608016e-15,0.07975,0.07975,0.0,0.0,4.10121332044338e-13,2.72562090586219e-21,4.10121334769959e-13,9.38578650243509e-16
0.0148666666666667,0.0,0.0,0.0,0.0,-4.55231645497242e-13,-4.64071624347395e-27,-4.55231645497247e-13,4.22474207472762e-16,0.0,0.0,0.0,0.0,-9.18418270398166e-19,-1.14606983522414e-19,-1.03302525392058e-18,-1.41362445875911e-15,0.138456666666667,0.138456666666667,0.0,0.0,4.55232675657838e-13,2.86466316346377e-21,4.55232678522501e-13,9.91150251286347e-16
0.0343368888888889,0.0,0.0,0.0,0.0,-5.06797642734307e-13,-4.85801085660931e-26,-5.06797642734355e-13,4.22470146217781e-16,0.0,0.0,0.0,0.0,-9.42929853392347e-19,-1.26929293520476e-19,-1.06985914691282e-18,-1.51734255440058e-15,0.254304488888889,0.254304488888889,0.0,0.0,5.06798709670646e-13,2.92285655358687e-21,5.06798712593502e-13,1.09487240818279e-15
0.0543368888888889,0.0,0.0,0.0,0.0,-5.52036057304709e-13,1.58367710843349e-26,-5.52036057304693e-13,4.22465975520026e-16,0.0,0.0,0.0,0.0,-9.60576915247632e-19,-1.37572689209898e-19,-1.09814960445753e-18,-1.62385480388558e-15,0.373304488888889,0.373304488888889,0.0,0.0,5.52037152483309e-13,2.97098873497356e-21,5.52037155454297e-13,1.20138882836555e-15
0.0743368888888889,0.0,0.0,0.0,0.0,-5.92770311204202e-13,-3.84096749468687e-26,-5.9277031120424e-13,4.22461805994177e-16,0.0,0.0,0.0,0.0,-9.75672896401969e-19,-1.47024225812206e-19,-1.12269712221418e-18,-1.7303366490657e-15,0.492304488888889,0.492304488888889,0.0,0.0,5.92771430880203e-13,3.02115884492331e-21,5.92771433901362e-13,1.30787484307153e-15
0.0943368888888889,0.0,0.0,0.0,0.0,-6.29884671791724e-13,-3.3460145623446e-26,-6.29884671791757e-13,4.22457637734265e-16,0.0,0.0,0.0,0.0,-9.88773609421487e-19,-1.55510235293197e-19,-1.14428384471468e-18,-1.83678578859793e-15,0.611304488888889,0.611304488888889,0.0,0.0,6.29885813001899e-13,3.07370333447672e-21,6.29885816075602e-13,1.41432815086367e-15
0.114336888888889,0.0,0.0,0.0,0.0,-6.64033012715393e-13,-5.69240411443199e-26,-6.6403301271545e-13,4.22453470843894e-16,0.0,0.0,0.0,0.0,-1.00025675142261e-18,-1.6319847711118e-19,-1.16345522853379e-18,-1.94319965039677e-15,0.730304488888889,0.730304488888889,0.0,0.0,6.64034173041848e-13,3.12883021220438e-21,6.64034176170679e-13,1.52074617955287e-15
0.134336888888889,0.0,0.0,0.0,0.0,-6.95724091553766e-13,3.08861944477275e-26,-6.95724091553735e-13,4.22449305438351e-16,0.0,0.0,0.0,0.0,-1.01040931916034e-18,-1.70220090157296e-19,-1.18062940931764e-18,-2.04957534753949e-15,0.849304488888889,0.849304488888889,0.0,0.0,6.95725268996373e-13,3.18677142739765e-21,6.95725272183144e-13,1.62712604210114e-15
0.154336888888889,0.0,0.0,0.0,0.0,-7.2536017771639e-13,2.23086151010054e-26,-7.25360177716368e-13,4.22445141646869e-16,0.0,0.0,0.0,0.0,-1.01945360685884e-18,-1.76678741309374e-19,-1.19613234816822e-18,-2.1559096248323e-15,0.968304488888889,0.968304488888889,0.0,0.0,7.25361370600927e-13,3.24778903306748e-21,7.25361373848716e-13,1.73346448318543e-15
0.174336888888889,0.0,0.0,0.0,0.0,-7.53263474695706e-13,-1.64727834554729e-26,-7.53263474695722e-13,4.22440979615298e-16,0.0,0.0,0.0,0.0,-1.02756446432725e-18,-1.82657928900748e-19,-1.210222393228e-18,-2.26219879356366e-15,1.08730448888889,1.08730448888889,0.0,0.0,7.53264681605934e-13,3.31218080570817e-21,7.53264684918115e-13,1.83975781394836e-15
